,size_decile,pre_beta_decile,n_firms,mean_lnME,mean_pre_beta,Date
2343,5,4,14,12.309561535025257,0.7556217279235345,2022-06-30
2344,5,5,15,12.257166610581093,0.8912912510991124,2022-06-30
2345,5,6,13,12.308197873626792,0.9856916690153608,2022-06-30
2346,5,7,20,12.256663663555345,1.0711940168547343,2022-06-30
2347,5,8,17,12.314386172989428,1.318396403506144,2022-06-30
2348,5,9,17,12.29421688967163,1.4908940202811476,2022-06-30
2349,5,10,30,12.30958661734457,1.9452184702276225,2022-06-30
2350,6,1,21,12.635721665861725,0.14883551461004818,2022-06-30
2351,6,2,14,12.619381403365116,0.4650638686727143,2022-06-30
2352,6,3,12,12.597075387913144,0.5721298388345469,2022-06-30
2353,6,4,14,12.614516752620547,0.6964677574152273,2022-06-30
2354,6,5,15,12.55106979255961,0.8260005663034715,2022-06-30
2355,6,6,18,12.59135482081071,0.9391078925678339,2022-06-30
2356,6,7,13,12.622455095119355,1.038895011867937,2022-06-30
2357,6,8,18,12.583169166508391,1.174928414286188,2022-06-30
2358,6,9,22,12.60115464415174,1.3824529952950657,2022-06-30
2359,6,10,32,12.643937250435235,1.869618570429162,2022-06-30
2360,7,1,22,13.049025196872812,0.24616597042551847,2022-06-30
2361,7,2,9,13.039547544069782,0.5458261976888578,2022-06-30
2362,7,3,13,13.107696998167903,0.6506204163538432,2022-06-30
2363,7,4,10,13.045115901346929,0.7775898782346563,2022-06-30
2364,7,5,8,13.000744208597284,0.8928072628194774,2022-06-30
2365,7,6,19,12.999648817702871,1.0097244183553713,2022-06-30
2366,7,7,17,12.995811912743836,1.131590134194469,2022-06-30
2367,7,8,17,12.965786767264078,1.3120945454253086,2022-06-30
2368,7,9,10,13.04070710973411,1.463492240120019,2022-06-30
2369,7,10,26,13.044635451186581,2.0011494901058637,2022-06-30
2370,8,1,12,13.607038435346622,0.00650930539203515,2022-06-30
2371,8,2,7,13.629604591753308,0.48073246517087226,2022-06-30
2372,8,3,9,13.703837319383318,0.6230212364400485,2022-06-30
2373,8,4,8,13.628978395941651,0.744675378569735,2022-06-30
2374,8,5,7,13.583809034678387,0.825819696875157,2022-06-30
2375,8,6,14,13.59156325592526,0.9333251554211489,2022-06-30
2376,8,7,13,13.568853558257068,1.081728190782821,2022-06-30
2377,8,8,14,13.642148800891993,1.2002702526871125,2022-06-30
2378,8,9,14,13.585920961088288,1.3567021841387235,2022-06-30
2379,8,10,25,13.62028995158109,1.8036885349567942,2022-06-30
2380,9,1,10,14.393512154410482,0.17964124863212666,2022-06-30
2381,9,2,7,14.471925099809198,0.49952058817954736,2022-06-30
2382,9,3,9,14.536490901864434,0.6498120363614929,2022-06-30
2383,9,4,13,14.358634683166061,0.8266264907215567,2022-06-30
2384,9,5,10,14.56284411654669,1.03065929741201,2022-06-30
2385,9,6,8,14.360029156143053,1.145935890212843,2022-06-30
2386,9,7,10,14.48710802366737,1.338239929277777,2022-06-30
2387,9,8,11,14.356407217623314,1.5077496623640763,2022-06-30
2388,9,9,9,14.390023254809238,1.7238670410748727,2022-06-30
2389,9,10,10,14.385778436318564,2.243116136214918,2022-06-30
2390,10,1,7,15.50809774963432,0.09038881979566327,2022-06-30
2391,10,2,6,16.253178854218984,0.5428520178206596,2022-06-30
2392,10,3,6,16.012462195529785,0.6757001761436429,2022-06-30
2393,10,4,8,15.251199401479864,0.7902061915562122,2022-06-30
2394,10,5,7,16.054087519525815,0.889150129359156,2022-06-30
2395,10,6,6,16.072147277208476,0.9914352299989767,2022-06-30
2396,10,7,7,16.719224429139874,1.115363202294463,2022-06-30
2397,10,8,6,16.14197762713238,1.2433470166532645,2022-06-30
2398,10,9,7,15.913162401131357,1.4468622696778841,2022-06-30
2399,10,10,8,16.408313834935505,1.6809180632542982,2022-06-30
